domesticated,diet,habitat,Kingdom,region,subtype,species
wild animal,omnivore,terrestrial animal,mammal,animal found in Oceania,marsupial,bandicoot
wild animal,omnivore,terrestrial animal,mammal,animal found in the Americas,marsupial,flying squirrel
wild animal,omnivore,terrestrial animal,mammal,animal found in Eurasia,marsupial,flying squirrel
wild animal,herbivore,terrestrial animal,mammal,animal found in Oceania,marsupial,kangaroo
wild animal,herbivore,terrestrial animal,mammal,animal found in Oceania,marsupial,koala bear
wild animal,insectivore,terrestrial animal,mammal,animal found in Oceania,marsupial,numbat
wild animal,carnivore,semi-aquatic animal,mammal,animal found in Oceania,marsupial,platypus
wild animal,herbivore,terrestrial animal,mammal,animal found in Oceania,marsupial,quokka
wild animal,carnivore,terrestrial animal,mammal,animal found in Oceania,marsupial,quoll
wild animal,carnivore,terrestrial animal,mammal,animal found in Oceania,quoll
wild animal,omnivore,terrestrial animal,mammal,animal found in Oceania,marsupial,sugar glider
wild animal,omnivore,terrestrial animal,mammal,animal found in Eurasia,marsupial,sugar glider
wild animal,carnivore,terrestrial animal,mammal,animal found in Oceania,marsupial,tasmanian devil
wild animal,herbivore,terrestrial animal,mammal,animal found in Oceania,marsupial,wallaby
wild animal,herbivore,terrestrial animal,mammal,animal found in Oceania,marsupial,wombat
wild animal,herbivore,terrestrial animal,mammal,animal found in Africa,animal with horns antlers or tusks,addax
wild animal,herbivore,terrestrial animal,mammal,animal found in Africa,animal with horns antlers or tusks,antelope
wild animal,herbivore,terrestrial animal,mammal,animal found in Eurasia,animal with horns antlers or tusks,antelope
wild animal,herbivore,terrestrial animal,mammal,animal found in Africa,animal with horns antlers or tusks,buffalo
wild animal,herbivore,terrestrial animal,mammal,animal found in the Americas,animal with horns antlers or tusks,buffalo
domesticated animal,herbivore,terrestrial animal,mammal,animal found in Africa,animal with horns antlers or tusks,buffalo
domesticated animal,herbivore,terrestrial animal,mammal,animal found in the Americas,animal with horns antlers or tusks,buffalo
wild animal,herbivore,terrestrial animal,mammal,animal found in the Americas,animal with horns antlers or tusks,caribou
wild animal,herbivore,terrestrial animal,mammal,animal found in Eurasia,animal with horns antlers or tusks,caribou
domesticated animal,herbivore,terrestrial animal,mammal,animal found worldwide,animal with horns antlers or tusks,cow
domesticated animal,herbivore,terrestrial animal,mammal,animal found worldwide,cow
domesticated animal,herbivore,terrestrial animal,mammal,animal found in Eurasia,animal with horns antlers or tusks,cow
domesticated animal,herbivore,terrestrial animal,mammal,animal found in Eurasia,cow
domesticated animal,herbivore,terrestrial animal,mammal,animal found in Africa,animal with horns antlers or tusks,cow
domesticated animal,herbivore,terrestrial animal,mammal,animal found in Africa,cow
domesticated animal,herbivore,terrestrial animal,mammal,animal found in the Americas,animal with horns antlers or tusks,cow
domesticated animal,herbivore,terrestrial animal,mammal,animal found in the Americas,cow
domesticated animal,herbivore,terrestrial animal,mammal,animal found in Oceania,animal with horns antlers or tusks,cow
domesticated animal,herbivore,terrestrial animal,mammal,animal found in Oceania,cow
wild animal,herbivore,terrestrial animal,mammal,animal found in Eurasia,animal with horns antlers or tusks,deer
wild animal,herbivore,terrestrial animal,mammal,animal found in the Americas,animal with horns antlers or tusks,deer
wild animal,herbivore,terrestrial animal,mammal,animal found in Africa,animal with horns antlers or tusks,deer
wild animal,herbivore,terrestrial animal,mammal,animal found in Eurasia,deer
wild animal,herbivore,terrestrial animal,mammal,animal found in the Americas,deer
wild animal,herbivore,terrestrial animal,mammal,animal found in Africa,deer
